schluessel;regionaleinheit;wert
08326;Schwarzwald-Baar-Kreis;7.1
08327;Tuttlingen;7.5
08335;Konstanz;9
08336;Lörrach;6.7
08337;Waldshut;6.9
08415;Reutlingen;7.4
08416;Tübingen;10.5
08417;Zollernalbkreis;7
08421;Ulm;9.5
08425;Alb-Donau-Kreis;7.5
08426;Biberach;7.3
08435;Bodenseekreis;6.9
08436;Ravensburg;7.9
08437;Sigmaringen;7.8
09161;Ingolstadt;7.9
09162;München;8.1
09163;Rosenheim;7.9
09171;Altötting;7.2
09172;Berchtesgadener Land;7
09173;Bad Tölz-Wolfratshausen;6.9
09174;Dachau;7.1
09175;Ebersberg;7.3
09176;Eichstätt;7.6
09177;Erding;7.7
09178;Freising;8.4
09179;Fürstenfeldbruck;7.1
09180;Garmisch-Partenkirchen;6.8
09181;Landsberg am Lech;6.9
09182;Miesbach;6.6
09183;Mühldorf a.Inn;7.3
09184;München, Landkreis;7.6
09185;Neuburg-Schrobenhausen;7.3
09186;Pfaffenhofen a.d.Ilm;7.2
09187;Rosenheim, Landkreis;7
09188;Starnberg;6.9
09189;Traunstein;6.8
09190;Weilheim-Schongau;6.8
09261;Landshut;7.9
09262;Passau;10.8
09263;Straubing;8
09271;Deggendorf;8.1
09272;Freyung-Grafenau;7.2
09273;Kelheim;7.5
09274;Landshut, Landkreis;7.2
09275;Passau, Landkreis;7
09276;Regen;7
09277;Rottal-Inn;7.4
09278;Straubing-Bogen;7.2
09279;Dingolfing-Landau;7.4
09361;Amberg;7.4
09362;Regensburg;9.8
09363;Weiden i.d.OPf.;8
09371;Amberg-Sulzbach;6.9
09372;Cham;7
09373;Neumarkt i.d.OPf.;7.3
09374;Neustadt a.d.Waldnaab;7
09375;Regensburg, Landkreis;6.9
09376;Schwandorf;7.3
09377;Tirschenreuth;6.6
09461;Bamberg;9.1
09462;Bayreuth;12
09463;Coburg;8
09464;Hof;8
09471;Bamberg, Landkreis;6.8
09472;Bayreuth, Landkreis;6.5
09473;Coburg, Landkreis;6.3
09474;Forchheim;6.7
09475;Hof, Landkreis;6.5
09476;Kronach;6.4
09477;Kulmbach;6.6
09478;Lichtenfels;6.6
09479;Wunsiedel i.Fichtelgebirge;6.5
09561;Ansbach;7.9
09562;Erlangen;10.1
09563;Fürth;7.3
09564;Nürnberg;7.9
09565;Schwabach;6.9
09571;Ansbach, Landkreis;7.2
09572;Erlangen-Höchstadt;6.6
09573;Fürth, Landkreis;6.3
09574;Nürnberger Land;6.5
09575;Neustadt a.d.Aisch-Bad Windsheim;7.1
09576;Roth;6.7
09577;Weißenburg-Gunzenhausen;7.1
09661;Aschaffenburg;7.4
09662;Schweinfurt;8.7
09663;Würzburg;11.6
09671;Aschaffenburg, Landkreis;6.5
09672;Bad Kissingen;6.4
09673;Rhön-Grabfeld;6.9
09674;Haßberge;6.9
09675;Kitzingen;7
09676;Miltenberg;6.8
09677;Main-Spessart;6.4
09678;Schweinfurt, Landkreis;7
09679;Würzburg, Landkreis;6.7
09761;Augsburg;8.7
09762;Kaufbeuren;7.3
09763;Kempten (Allgäu);8.1
09764;Memmingen;7.5
09771;Aichach-Friedberg;7
09772;Augsburg, Landkreis;6.8
09773;Dillingen a.d.Donau;7.3
09774;Günzburg;7.5
09775;Neu-Ulm;7.6
09776;Lindau (Bodensee);6.8
09777;Ostallgäu;7.1
09778;Unterallgäu;7.3
09779;Donau-Ries;7.4
09780;Oberallgäu;6.6
10041;Regionalverband Saarbrücken;7.5
10042;Merzig-Wadern;6.4
10043;Neunkirchen;6.4
10044;Saarlouis;6.4
10045;Saarpfalz-Kreis;6.6
10046;St. Wendel;5.9
11000;Berlin;7.2
12051;Brandenburg an der Havel;5.9
12052;Cottbus;6.9
12053;Frankfurt (Oder);7.2
12054;Potsdam;7.5
12060;Barnim;5.4
12061;Dahme-Spreewald;5.5
12062;Elbe-Elster;4.7
12063;Havelland;5.9
12064;Märkisch-Oderland;5
12065;Oberhavel;5.8
12066;Oberspreewald-Lausitz;4.9
12067;Oder-Spree;5.1
12068;Ostprignitz-Ruppin;5.4
12069;Potsdam-Mittelmark;5.6
12070;Prignitz;5.2
12071;Spree-Neiße;4.4
12072;Teltow-Fläming;5.8
12073;Uckermark;5
13003;Rostock;9
13004;Schwerin;7.1
13071;Mecklenburgische Seenplatte;5.4
13072;Rostock, Landkreis;4.8
13073;Vorpommern-Rügen;5.4
13074;Nordwestmecklenburg;5.6
13075;Vorpommern-Greifswald;6.4
13076;Ludwigslust-Parchim;5
14511;Chemnitz;7
14521;Erzgebirgskreis;5.3
14522;Mittelsachsen;5.4
14523;Vogtlandkreis;5.2
14524;Zwickau;5.5
14612;Dresden;8.5
14625;Bautzen;4.9
14626;Görlitz;5.1
14627;Meißen;5.2
14628;Sächsische Schweiz-Osterzgebirge;5.2
14713;Leipzig;9.2
14729;Leipzig, Landkreis;4.9
14730;Nordsachsen;5.4
15001;Dessau-Roßlau;5.2
15002;Halle (Saale);9.5
15003;Magdeburg;8.5
15081;Altmarkkreis Salzwedel;5.2
15082;Anhalt-Bitterfeld;5.3
15083;Börde;4.9
15084;Burgenlandkreis;5.2
15085;Harz;5.5
15086;Jerichower Land;4.9
15087;Mansfeld-Südharz;4.9
15088;Saalekreis;5.2
15089;Salzlandkreis;5.3
15090;Stendal;5.3
15091;Wittenberg;4.9
16051;Erfurt;8.2
16052;Gera;6
16053;Jena;9.8
16054;Suhl;6.5
16055;Weimar;8.3
16061;Eichsfeld;5.6
16062;Nordhausen;6.1
16063;Wartburgkreis;5.5
16064;Unstrut-Hainich-Kreis;5.7
16065;Kyffhäuserkreis;5.3
16066;Schmalkalden-Meiningen;5.6
16067;Gotha;5.9
16068;Sömmerda;5.3
16069;Hildburghausen;5.1
16070;Ilm-Kreis;6.1
16071;Weimarer Land;5.5
16072;Sonneberg;5.6
16073;Saalfeld-Rudolstadt;5.1
16074;Saale-Holzland-Kreis;5.6
16075;Saale-Orla-Kreis;5.4
16076;Greiz;4.7
16077;Altenburger Land;5.1
